x,y,z,dist,time,stochastic_delay,total_time,cum_delay
489,4917,633,4470,38,0,38,1790
214,15,1075,5349,41,0,41,1790
247,495,1544,5095,40,0,40,1790
386,225,9,5287,40,0,40,1790
391,1161,63,4342,38,0,38,1790
121,3191,1776,2782,33,0,33,1790
566,112,2489,6403,44,60,104,1850
238,3904,1727,3583,35,0,35,1850
20,942,2002,4687,39,0,39,1850
243,3144,2284,3187,34,0,34,1850
69,2840,84,2336,32,0,32,1850
129,4076,73,3315,34,20,54,1870
43,2860,1131,2351,32,0,32,1870
553,2455,1210,3294,34,0,34,1870
3,3675,2262,3462,35,0,35,1870
205,4226,873,3529,35,0,35,1870
23,3875,1782,3371,35,0,35,1870
481,13,2720,6593,44,0,44,1870
404,3621,657,3091,34,0,34,1870
60,257,2346,5647,41,0,41,1870
202,613,271,4663,38,0,38,1870
566,358,5,5335,41,0,41,1870
148,362,1955,5365,41,0,41,1870
489,423,2132,5760,42,0,42,1870
132,4828,2057,4604,38,0,38,1870
145,3554,1023,2834,33,70,103,1940
559,2185,2039,4007,37,0,37,1940
86,1518,1395,3840,36,0,36,1940
112,1458,2313,4474,38,20,58,1960
190,2796,832,2484,32,0,32,1960
-64,2636,751,2377,32,0,32,1960
128,4464,1685,4010,37,60,97,2020
250,1161,1782,4562,38,0,38,2020
167,3682,526,2909,33,0,33,2020
177,1064,1464,4417,38,0,38,2020
321,673,1404,4924,39,0,39,2020
577,1996,1329,3824,36,0,36,2020
-76,1267,1586,4022,37,0,37,2020
411,4556,1459,4268,37,0,37,2020
596,3038,1654,3035,34,0,34,2020
498,4949,970,4568,38,0,38,2020
-44,3700,402,2718,33,0,33,2020
592,2121,983,3595,35,0,35,2020
583,1927,2457,4581,38,0,38,2020
406,3293,407,2761,33,0,33,2020
101,641,1995,5064,40,0,40,2020
527,1695,2335,4668,39,0,39,2020
-99,981,289,3992,36,0,36,2020
105,4365,2380,4338,38,0,38,2020
15,2213,1966,3387,35,0,35,2020
38,3417,44,2572,32,0,32,2020
324,2038,1850,3800,36,0,36,2020
40,751,151,4382,38,0,38,2020
213,1771,2095,4112,37,0,37,2020
551,2798,1078,2904,33,0,33,2020
-63,4827,1041,3904,36,0,36,2020
11,4694,928,3815,36,0,36,2020
18,4095,2515,4081,37,0,37,2020
155,2649,44,2623,32,0,32,2020
-44,3112,773,2148,31,0,31,2020
453,4209,681,3731,36,0,36,2020
332,1250,253,4159,37,0,37,2020
85,2434,2194,3388,35,0,35,2020
-70,313,869,4714,39,0,39,2020
-90,2009,1175,3084,34,0,34,2020
78,4863,358,4006,37,0,37,2020
-94,3867,1143,2945,33,0,33,2020
575,1558,982,4141,37,70,107,2090
403,2615,1049,2930,33,0,33,2090
464,3279,2597,3773,36,0,36,2090
131,766,1829,4866,39,0,39,2090
